idx,company,Title,notes,tax3,tax2,tax1,Enterprise/Sector Type,city,Country,Continent: Asia,website,lat,lng
91,Chad Nelsen,Chief Executive Officer,Surfrider Foundation,Over 30,Male,Non-Profit,NGO,"Orange County, CA",USA,North America,https://www.linkedin.com/in/chadnelsen/#:~:targetText=Chad%20Nelsen%20%2D%20Chief%20Executive%20Officer%20%2D%20Surfrider%20Foundation%20%7C%20LinkedIn ,33.717471,-117.831143
92,Charles Perry,"Special Projects and Aviation, High Level Climate Champion","Sustainable Future for All, COP26",Over 30,Male,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/charles-perry-3742932/,51.507218,-0.127586
93,Mari Copeny,"Little Miss Flint, Founder",Wednesdays For Water,Under 30,Female,Non-Profit,,"Flint, MI",USA,North America,https://www.maricopeny.com/,43.012527,-83.687456
94,Charlotte McIntyre,Senior Associate,Pinsent Masons,Over 30,Female,For-Profit,General,London,United Kingdom,Europe,https://www.linkedin.com/in/charlotte-mcintyre-ba99b489/?originalSubdomain=uk,51.507218,-0.127586
95,Cheryl Dorsey,President,Echoing Green,Over 30,Female,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/cheryl-dorsey/,38.907192,-77.036871
96,Miranda Wang,Co-Founder and CEO,Novoloop,Under 30,Female,For-Profit,Energy/Environmental,"Menlo Park, CA",USA,North America,https://www.linkedin.com/in/mirandaywwang/,37.45296,-122.181725
97,Chrissa Pagitsas,Former VP and Head of ESG,Fannie Mae,Over 30,Female,For-Profit,General,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/chrissa-pagitsas/,38.907192,-77.036871
98,Christian Berg,University Lecturer,Kiel University,Over 30,Male,Non-Profit,University,Heikendorf,Germany,Europe,https://www.linkedin.com/in/prof-dr-christian-berg-38150511/?locale=en_US,54.379377,10.211254
99,Christian Kroll,Founder,Ecosia,Over 30,Male,For-Profit,Tech/Internet,Berlin,Germany,Europe,https://www.linkedin.com/in/christian-kroll-b2aa06b/,52.520007,13.404954
100,Christian Pho Duc,Managing Director of H2 Projects,SmartEnergy Invest AG,Over 30,Male,For-Profit,Energy/Environmental,Munich,Germany,Europe,https://www.linkedin.com/in/christian-pho-duc-9519472/,48.135125,11.58198
101,Christiana Figueres,Founding Partner,Global Optimism,Over 30,Female,Non-Profit,NGO,San Jose,Costa Rica,North America,https://www.linkedin.com/in/christianafigueres/ https://earthoptimism.si.edu/about/2020-summit/speakers/christiana-figueres/,37.338208,-121.886329
102,Christine Brunel-Ligneau,Head of Sustainable Agriculture,Bayer AG CropScience Division,Over 30,Female,For-Profit,Food Science,Düsseldorf,Germany,Europe,https://www.linkedin.com/in/christine-brunel-ligneau/?originalSubdomain=de,51.227741,6.773456
103,Christopher James,Founder & Executive Chairman,Engine No. 1,Over 30,Male,For-Profit,Finance,"San Francisco, CA",USA,North America,NEED LINK,37.77493,-122.419416
104,Christopher Miller,Activism Manager; Former Director of Sustainability,Ben and Jerry's; Seventh Generation,Over 30,Male,For-Profit,General,"Burlington, VA",USA,North America,https://www.linkedin.com/in/christopher-miller-6bb5b215/,44.475882,-73.212072
105,Cindy Ortega,Founder and CEO,Blue Heron Strategies,Over 30,Female,For-Profit,Energy/Environmental,"Las Vegas, NV",USA,North America,https://www.linkedin.com/in/cindy-ortega-38642898/,36.169941,-115.13983
106,Clair Mack,Chief Executive,Scottish Renewables,Over 30,Female,Non-Profit,NGO,Glasgow,United Kingdom,Europe,https://www.linkedin.com/in/claire-mack-50a93814/,55.864237,-4.251806
107,Claire O'Neill,"Managing Director of Climate and Energy, Former President","World Business Council, COP series",Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/clairefordevizes/,51.507218,-0.127586
108,Claudia Szerakowski,Circular Fashion Consultant,Eco Intelligent Growth,Under 30,Female,For-Profit,Energy/Environmental,Barcelona,Spain,Europe,https://www.linkedin.com/in/cszerakowski/,36.088106,-95.924131
109,Clover Hogan,"Climate Activist, Executive Director and Founder",Force of Nature,Under 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/cloverhogan/,51.507218,-0.127586
110,Colleen Vien,Sustainability Director,Timberland,Over 30,Female,For-Profit,General,"Beverely, MA",USA,North America,https://www.linkedin.com/in/colleen-vien/,42.558428,-70.880049
111,Collin O'Mara,President and Chief Executive Officer,National Wildlife Federation,Over 30,Male,Non-Profit,NGO,"Reston, VA",USA,North America,https://www.linkedin.com/in/collin-o-mara-536ba76/,38.958631,-77.357003
112,Connie Hedegaard,Chair,Organisation for Economic Co-Operation and Development (OECD) Round Table on Sustainabilt Development,Over 30,Female,Non-Profit,NGO,Copenhagen,Denmark,Europe,https://conniehedegaard.com/,55.676097,12.568337
113,Corey Brinkema,Chief Executive Officer,Forest Stewardship Council,Over 30,Male,Non-Profit,NGO,"Minneapolis, MN",USA,North America,https://www.linkedin.com/in/corey-brinkema-b529338/ ,44.977753,-93.265011
114,Cristian Samper,President and Chief Executive Officer,Wildlife Conservation Society,Over 30,Male,Non-Profit,NGO,"New York, NY",USA,North America,"https://www.wcs.org/about-us/management#management
https://www.linkedin.com/in/cristian-samper-970898114/ ",40.712775,-74.005973
