idx,Last Name(s),company,Title (as a thought leader),notes,City/State,Country,city,website,lat,lng,tax1,tax2,tax3
469,Wang,Miranda Wang,Co-Founder and Chief Executive Officer,Novoloop,"Menlo Park, CA",USA,"Menlo Park, CA, USA",https://www.linkedin.com/in/mirandaywwang/,37.45296,-122.181725,Leader,Leader,Leader
470,Warner,John Warner,Distinguished Research Fellow,Zymergen,"Wilmington, MA",USA,"Wilmington, MA, USA",https://www.linkedin.com/in/john-warner-5681177/,42.548171,-71.172447,Leader,Leader,Leader
471,Wathuti,Elizabeth Wanjiru Wathuti,Founder,Green Generation Initiative (GGI),Nairobi,Kenya,"Nairobi, Kenya",https://www.linkedin.com/in/elizabeth-wathuti-8415a299/,-1.292066,36.821946,Leader,Leader,Leader
472,Watterson,Andrew Watterson,President and Founder; Former Head of Sustainability,Blue CSR Strategies; KeyBank,"Cleveland, OH",USA,"Cleveland, OH, USA",https://www.linkedin.com/in/andrew-watterson/,41.49932,-81.69436,Leader,Leader,Leader
473,Wayland,Karen Wayland,Chief Executive Officer,kW Energy Strategies,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/karen-wayland-87228310/,38.907192,-77.036871,Leader,Leader,Leader
474,Weihl,Bill Weihl,Founder and Executive Director,ClimateVoice,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/bweihl/,37.77493,-122.419416,Leader,Leader,Leader
475,Wenzel,Mary Wenzel,EVP and Head of Sustainability and ESG Integration,Wells Fargo,"Denver, CO",USA,"Denver, CO, USA",https://www.linkedin.com/in/mary-wenzel-78505815/,39.739236,-104.990251,Leader,Leader,Leader
476,Wijkman,Anders Wijkman,Co-President,Club of Rome,Stockholm,Sweden,"Stockholm, Sweden",https://www.linkedin.com/in/anders-wijkman-1456058/,59.329324,18.068581,Leader,Leader,Leader
477,Wijsen,Melati Wijsen,Co-founder,Bye Bye Plastic Bags,Bali,Indonesia,"Bali, Indonesia",https://www.linkedin.com/in/melati-wijsen-282057187/?originalSubdomain=id https://www.weforum.org/people/melati-wijsen,-8.409518,115.188916,Leader,Leader,Leader
478,Wilkinson,Katharine Wilkinson,Co-Founder,The All We Can Save Project,"Atlanta, GA",USA,"Atlanta, GA, USA",https://www.linkedin.com/in/katharine-k-wilkinson/,33.748995,-84.387982,Leader,Leader,Leader
479,Williams,Kate Williams,Chief Executive Officer,1% for the Planet,"Burlington, VT",USA,"Burlington, VT, USA",https://www.linkedin.com/in/katewilliams87/,44.475882,-73.212072,Leader,Leader,Leader
480,Wills,Terri Wills,Former Chief Executive Officer,World Green Building Council,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/terriwills/,51.507218,-0.127586,Leader,Leader,Leader
481,Winslow,Darcy Winslow,Founding President; Founder,Academy for Systems Change; Magnolia Moonshot 2030,"Portland, OR",USA,"Portland, OR, USA",https://www.linkedin.com/in/darcywinslow/ ,45.515232,-122.678385,Leader,Leader,Leader
482,Wolff,Allison Wolff,Chief Executive Officer,Vibrant Planet,"Incline Village, NV",USA,"Incline Village, NV, USA",https://www.linkedin.com/in/allisonclairwolff/,39.249683,-119.952685,Leader,Leader,Leader
483,Wong,Kam-sing Wong,Secretary for the Environment,Hong Kong,Hong Kong,China,"Hong Kong, China",https://www.gov.hk/en/about/govdirectory/po/sen.htm,22.319304,114.169361,Leader,Leader,Leader
484,Wroten,Mary Wroten,Director of Global Sustainability,Ford Motor Company,"Dexter, MI",USA,"Dexter, MI, USA",https://www.linkedin.com/in/mary-a-wroten-34a3459/,42.33837,-83.888555,Leader,Leader,Leader
485,Wyman,Michelle Wyman,Executive Director,Global Council for Science and the Environment,"Washington, DC",USA,"Washington, DC, USA",linkedin.com/in/miwyman,38.907192,-77.036871,Leader,Leader,Leader
486,Yadigaroglu,Ion Yadigaroglu,Co-Founder and Partner,Capricorn Investment Group,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/ion-yadigaroglu-6042b0/,40.712775,-74.005973,Leader,Leader,Leader
487,Yarnold,David Yarnold,Former President and Chief Executive Officer,National Audubon Society,"New York, NY",USA,"New York, NY, USA",,40.712775,-74.005973,Leader,Leader,Leader
488,Yeampierre,Elizabeth Yeampierre,Executive Director,Uprose,"Brooklyn, NY",USA,"Brooklyn, NY, USA",https://twitter.com/yeampierre,40.678178,-73.944158,Leader,Leader,Leader
489,Yee,Shannon Yee,Associate Professor,Georgia Institute of Technology,"Atlanta, GA",USA,"Atlanta, GA, USA",https://www.linkedin.com/in/shannon-yee-75010520/,33.748995,-84.387982,Leader,Leader,Leader
490,Yeoh,Ruth Yeoh,executive director,YTL Singapore Pte LTD,Singapore,Singapore,"Singapore, Singapore",https://www.linkedin.com/in/ruth-yeoh-0681174/,1.352083,103.819836,Leader,Leader,Leader
491,Yeung,David Yeung,Co-Founder and Chief Executive Officer,Green Monday,Hong Kong,China,"Hong Kong, China",https://www.linkedin.com/in/greenmonday-david/,22.319304,114.169361,Leader,Leader,Leader
492,Youner,Jason Youner,Founder and Chief Executive Officer,Companies vs Climate Change Sustainability Consulting,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/jasonyouner/,40.712775,-74.005973,Leader,Leader,Leader
493,Zabey,Eva Zabey,Executive Director,Business for Nature,Geneva,Switzerland,"Geneva, Switzerland",https://www.linkedin.com/in/eva-zabey-2915403/,46.204391,6.143158,Leader,Leader,Leader
494,Zhang,Zhang Boju,Director General,Friends of Nature,Beijing,China,"Beijing, China",https://twitter.com/fon_china?lang=en,39.904211,116.407395,Leader,Leader,Leader
495,Zheng,Wenchun Zheng,Founder of Blue Ribbon Ocean Conservation,Blue Ribbon Ocean Conservation,Hainan,China,"Hainan, China",http://www.ch-blueocean.org/,20.01997,110.34863,Leader,Leader,Leader
496,Zhenhua,Minister XIE Zhenhua,Special Envoy on Climate Change,China,Beijing,China,"Beijing, China",https://cciced.eco/about/composition/executive-committee/xie-zhenhua/,39.904211,116.407395,Leader,Leader,Leader
497,Zilberman,David Zilberman,"Co-Director, Beahrs Environmental Leadership Program",UC Berkeley,"Berkeley, CA",USA,"Berkeley, CA, USA",https://beahrselp.berkeley.edu/people/zilberman-david,37.871523,-122.273042,Leader,Leader,Leader
498,Zoi,Cathy Zoi,Chief Executive Officer,EVgo,"Los Angeles, CA",USA,"Los Angeles, CA, USA",https://www.linkedin.com/in/cathy-zoi-60016a60/,34.052234,-118.243685,Leader,Leader,Leader
499,Zúñiga Cáceres,Bertha Zúñiga Cáceres,General Coordinator,Civic Council of Popular and Indigenous Organizations of Honduras ,La Esperanza,Honduras,"La Esperanza, Honduras",https://www.equaltimes.org/environmentalists-in-honduras?lang=en#.YNzDR-hKhPZ,38.69367,-75.388038,Leader,Leader,Leader
