idx,First_Middle_Name,Last_Name,company,Title,notes,tax1,city,Country,Continent,website,"lat, lng",lat,lng,tax2,tax3
87,Chris,DeCardy,Chris DeCardy,Acting CEO,ClimateWorks Foundation,Non-Profit,"Menlo Park, CA",USA,North America,https://www.linkedin.com/in/chris-decardy-philanthropic-leader/ ,"37.4529598, -122.1817252",37.45296,-122.181725,Unknown,Unknown
88,Mauricio,Graber,Mauricio Graber,Chief Executive Officer,Chr. Hansen Holdings A/S,For-Profit,Copenhagen,Denmark,Europe,https://www.linkedin.com/in/mauricio-graber/,"55.6760968, 12.5683372",55.676097,12.568337,Unknown,Unknown
89,Francois-Henri,Pinault,Francois-Henri Pinault,Chief Executive Officer,Kering SA,For-Profit,London,England,Europe,https://www.kering.com/en/group/our-governance/  https://www.linkedin.com/in/fran%C3%A7ois-pinault-406b9673/?originalSubdomain=uk,"51.5073509, -0.1277583",51.507351,-0.127758,Unknown,Unknown
90,Peter,Vanacker,Peter Vanacker,Chief Executive Officer,Neste Corporation,For-Profit,Helsinki,Finland,Europe,https://www.linkedin.com/in/peter-vanacker-ba954519/,"60.16985569999999, 24.9383791",60.169856,24.938379,Unknown,Unknown
91,Henrik,Poulsen,Henrik Poulsen,Chief Executive Officer,Orsted,For-Profit,Copenhagen,Denmark,Europe,https://www.linkedin.com/in/henrik-poulsen-155b22189/,"55.6760968, 12.5683372",55.676097,12.568337,Unknown,Unknown
92,Michael,Dorsey,Michael Dorsey,Full Member,Club of Rome,Non-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/profmkd/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
93,Cho,Yong-byoung,Cho Yong-byoung,Chief Executive Officer,Shinhan Financial Group Co.,For-Profit,Seoul,South Korea,Asia,http://www.shinhangroup.com/en/introduce/chairman3.jsp,"37.566535, 126.9779692",37.566535,126.977969,Unknown,Unknown
94,Bea,Perez,Bea Perez,Senior Vice President and Sustainability Officer,Coca-Cola Company,For-Profit,"Decatur, GA",USA,North America,https://www.linkedin.com/in/bea-perez-8225919/,"33.7748275, -84.2963123",33.774828,-84.296312,Unknown,Unknown
95,Kaisa,Jungman,Kaisa Jungman,Director of Sustainable Business Development,Metso Outotec,For-Profit,Helsinki,Finland,Europe,https://www.linkedin.com/in/kaisa-jungman-34a13b5/?originalSubdomain=fi,"60.16985569999999, 24.9383791",60.169856,24.938379,Unknown,Unknown
96,Goksenin,Ozturkeri,Goksenin Ozturkeri,Vice President,CohnReznick Capital,For-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/gozturkeri/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
97,Jeffrey,Sachs,Jeffrey Sachs,Director,Columbia Center on Sustainable Development,Non-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/jeffrey-sachs-7494689a/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
98,Lisa,Sachs,Lisa Sachs,Director,Columbia Center on Sustainable Investment,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/lisa-sachs-849436113/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
99,Julio,Friedmann,Julio Friedmann,"Senior Research Scholar, Lead of CaMRI Initiative",Columbia University,Non-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/julio-friedmann-86a83a44/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
100,Michael,Gerrard,Michael Gerrard,Professor,Columbia University Law School,Non-Profit,"New York, NY",USA,North America,,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
101,Varun,Sivaram,Varun Sivaram,Visiting Senior Fellow,Columbia University SIPA Center for Global Energy Policy,Non-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/varunsivaram/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
102,James,Hansen,James Hansen,"Adjunct Professor and Director of Climate Science, Awareness, and Solutions",Columbia University’s Earth Institute,Non-Profit,"Palisades, NY",USA,North America,https://www.earth.columbia.edu/users/profile/james-e-hansen,"41.0113078, -73.9132927",41.011308,-73.913293,Unknown,Unknown
